,Autor_libro,Nota_promedio_libro,Votos_libro
413,Jerzy Kosiński,3.86,12686.0
414,Woody Allen,4.18,920.0
415,Peter Benchley,3.96,153527.0
416,Patrick Mann,3.55,154.0
418,Henri Charrière,4.22,65742.0
419,William Peter Blatty,4.19,214256.0
421,Larry McMurtry,3.99,17018.0
422,Joseph Stein,4.22,15790.0
424,Thom Hatch,3.75,521.0
425,Ira Levin,4.03,129376.0
426,Pierre Boulle,3.97,38219.0
427,Naomi Novik,4.31,63889.0
428,Edward Albee,4.06,66662.0
429,Hazrat Inayat Khan,4.4,457.0
430,Boris Pasternak,4.01,91885.0
434,Walter Tevis,4.13,3156.0
436,Matt Fraction,4.33,9193.0
437,Robert Traver,4.04,2714.0
438,C.T. Adams,3.49,1443.0
439,Tennessee Williams,4.06,58231.0
440,Ernest Lehman,4.0,91.0
441,Peter Swanson,4.03,134478.0
442,Davis Grubb,4.17,1849.0
443,Cormac McCarthy,3.98,824003.0
444,Jules Barbey d'Aurevilly,3.78,1623.0
445,Billy Wilder,4.27,52.0
446,Jodi Taylor,4.21,4823.0
447,Tennessee Williams,3.98,292749.0
448,Dorothy B. Hughes,4.11,5764.0
449,Michael Newton,4.09,34.0
451,Renee Pawlish,3.89,1701.0
452,Ben Fountain,3.94,3075.0
454,Sarah Kozloff,4.31,39.0
455,Joseph Kesselring,4.14,24083.0
456,Dashiell Hammett,3.89,100311.0
457,John Steinbeck,3.99,851408.0
458,L. Frank Baum,3.99,425871.0
459,Victor Dixen,4.47,161.0
460,Dashiell Hammett,3.92,33052.0
461,Erich Maria Remarque,4.04,412311.0
463,Rian Johnson,4.52,144.0
467,André Aciman,4.12,411954.0
468,Paul Laverty,4.43,51.0
469,Patricia Cornwell,3.13,8149.0
470,Taika Waititi,4.63,16.0
474,Jason Aaron,3.9,1489.0
475,Taika Waititi,4.27,125.0
476,Shaun Tan,4.34,53794.0
477,John Williams,4.31,13.0
478,Cameron Dokey,3.86,10351.0
479,Chris Claremont,4.14,12934.0
480,Nuri Bilge Ceylan,4.29,69.0
482,Isaac Asimov,3.98,1209.0
483,Krista Ritchie,4.23,9909.0
485,Erfan Nazar-ahari,4.33,15.0
486,Stephenie Meyer,3.58,1771483.0
487,John Ajvide Lindqvist,4.04,103651.0
488,Douglas Dorow,3.98,2598.0
489,Yuyi Morales,3.91,1901.0
490,Frederic P. Miller,4.67,3.0
493,Lawrence M. Krauss,3.85,5907.0
494,E.J. Stevens,3.79,269.0
495,Jerome Bixby,4.48,365.0
498,Yann Martel,3.93,1529704.0
499,Roald Dahl,4.07,123875.0
501,Christophe Barratier,4.27,26.0
502,Warren Ellis,4.14,15452.0
505,Dennis Lehane,4.16,138325.0
506,J.K. Rowling,4.58,3698821.0
508,Pedro Almodóvar,4.12,33.0
509,David Baldacci,4.2,43720.0
511,Robert Ludlum,4.04,423305.0
513,P.D. James,3.68,44874.0
514,Megan Mayhew Bergman,3.47,3166.0
516,Kathleen Weidner Zoehfeld,4.43,2109.0
517,Paul Thomas Anderson,4.38,108.0
519,Alan Duff,3.96,3141.0
521,Krzysztof Kieślowski,4.22,27.0
523,Edwin Torres,4.0,280.0
524,Kate Leth,3.57,854.0
526,Jeffrey Toobin,4.18,1055.0
527,J.J. McAvoy,4.41,12956.0
528,Woody Allen,4.13,310.0
529,Ira Levin,4.06,37060.0
530,Karl French,4.25,84.0
531,Maxine Rose Schur,4.08,6837.0
532,The Blues Brothers,0.0,0.0
533,Sophie Kinsella,3.77,120093.0
534,Natasha Boyd,4.01,2274.0
535,George A. Romero,3.83,1709.0
536,Carl Bernstein,4.17,52429.0
537,Claudio Naranjo,4.5,34.0
540,Frederic Schafer,0.0,0.0
541,Colin Higgins,4.07,2237.0
544,Night of the Living Dead,0.0,0.0
